article_path,article_title,video_path,video_title,score
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\brand-voice-guidelines.md,HelloComp Brand Voice Guidelines,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\CLAUDE.md,CLAUDE.md — HelloComp SEO Copywriting Project,HelloComp_PREZENTACE\HelloComp_SEO_Video_Scripts.html,🎬 HelloComp — SEO Video Scénáře,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\CONTENT-FRAMEWORK-V2-COMPETITOR-DRIVEN.md,CONTENT FRAMEWORK V2 — Competitor-Driven Optimization,HelloComp_PREZENTACE\content-hub.html,HelloComp — Content Hub,0.125
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HelloComp_Brand_Voice_Guidelines.md,HelloComp Brand Voice Guidelines,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HelloComp_Campaign_Plan.md,HelloComp Campaign Plan,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\hellocomp_vzorove_copy.md,hellocomp vzorove copy,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\hry-nejnarocnejsi-a-vyber-pc.md,hry nejnarocnejsi a vyber pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\hry-nenarocne-a-vyber-pc-do-20000.md,hry nenarocne a vyber pc do 20000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\TODO-NOVA-KATEGORIE-A-BLOG-2026-03-29.md,TODO: Nové kategoriové stránky + blogové články pro hellocomp.cz,HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.182
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\_competitor-jak-vybrat-grafickou-kartu.md,competitor jak vybrat grafickou kartu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\_competitor-syntax-check.md,competitor syntax check,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\_site-report.md,HelloComp Site Intelligence Report,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\_sitemap-reference.md,Sitemap Reference — hellocomp.cz (Live URLs pro prolinkování),HelloComp_PREZENTACE\DOKUMENTACE.md,DOKUMENTACE PRO HelloComp PREZENTACE,0.200
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\documents\beforeplansocials.md,HelloComp Campaign Plan,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.250
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\documents\HelloComp-strategie-social-youtube-2026.md,HelloComp.cz — Strategie: Social Media + YouTube 2026,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.125
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\documents\info.md,HelloComp.cz: 90-day social media resurrection plan,HelloComp_PREZENTACE\index.html,HelloComp PREZENTACE,0.111
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\blog_copywriting_final.md,HelloComp Blog: Copywriting & Content Plan,HelloComp_PREZENTACE\content-hub.html,HelloComp — Content Hub,0.333
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\chladice-cpu.md,chladice cpu,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\chladice.md,chladice,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\externi-disky.md,externi disky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-amd-rx.md,graficke karty amd rx,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-amd.md,graficke karty amd,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-do-pc.md,graficke karty do pc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-intel-arc.md,graficke karty intel arc,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia-gtx.md,graficke karty nvidia gtx,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia-rtx-20.md,graficke karty nvidia rtx 20,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia-rtx-40.md,graficke karty nvidia rtx 40,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia-rtx-50.md,graficke karty nvidia rtx 50,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia-titan.md,graficke karty nvidia titan,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\graficke-karty-nvidia.md,graficke karty nvidia,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni pocitace do 40000.md,herni pocitace do 40000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-acer.md,herni notebooky acer,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-asus.md,herni notebooky asus,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-dell.md,herni notebooky dell,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-gaming.md,herni notebooky gaming,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-hp.md,herni notebooky hp,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-lenovo.md,herni notebooky lenovo,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-notebooky-msi.md,herni notebooky msi,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-pc-intel (1).md,herni pc intel (1),,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-pc-na-miru.md,herni pc na miru,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-pc-na-splatky.md,herni pc na splatky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-pc-s-amd.md,herni pc s amd,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\herni-pocitac-do-60000.md,herni pocitac do 60000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\Herní počítač do 15 000.md,Herní počítač do 15 000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\Herní počítač do 20 000.md,Herní počítač do 20 000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\Herní počítač do 30 000.md,Herní počítač do 30 000,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\interni-disky.md,interni disky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\interni-ssd-hdd-disky.md,interni ssd hdd disky,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\kancelarske-notebooky-dell.md,kancelarske notebooky dell,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\kancelarske-notebooky-hp.md,kancelarske notebooky hp,,,0.000
CODE_MAHONY\PROJECTS\Hellocomp SEO + COPY\HOTOVE\kategorie-test\kancelarske-notebooky-lenovo.md,kancelarske notebooky lenovo,,,0.000
